Typical Values,per 100g (as sold),item name,Per 100g serving,as sold Per 100g,Per 100g,Per portion (125g) (%*),Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),per 180g cooked pasta (approx. 75g dry pasta) %RI,your RI*,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 12 Pack As Prepared (183g),% Reference Intake,%RI,Per Pot (265g) As Prepared,per: 100g uncooked,per: 75g uncooked,Per 100g as sold,Per portion as prepared (145g),Per 1/2 Pack As Prepared (183g),as consumed per 100g,as consumed per 1/2 pack (110g),per 1/2 pack (110g) %RI,Per (100g),Per (150g),Per Serving,(as prepared) per 100g,(as prepared) per 1/2 pack (140g),per 1/2 pack (140g) %RI,(as prepared) per pot,Per Pot (315g) As Prepared,(as consumed) Per 100g,(as consumed) Per pot (338g),(as consumed) Per sachet,as prepared per: 100g,as prepared per: Cup,Per portion as prepared (161g),%Reference Intake,per 100g prepared product:,Per Pot (245g) As Prepared,Per 125g Serving,Avg. Quantity per Serving (as made up),Avg. Quantity per 100g (as made up),per 100g,Per 100g uncooked,Per 75g uncooked,Avg. Quantity per 100 g (as made up),per 100g prepared:,Per Pot (305g) As Prepared,Avg Quantity per Serving (as made up),(as consumed) Per pot (258g),(as sold) Per 100g,Avg Quantity per 100 g (as made up),Per portion (110g) (%*),Per pot,(as consumed) per pot,(typical values as microwaved) Per 100g,(typical values as microwaved) Per Pack,Per 100g (As consumed),Per Portion 130g (As consumed),per 100 g prepared product:,(as consumed) Per pot (434g),Per 100g ,Per 56g pack,(as consumed) per sachet,Per Portion,Per Pot (350g) As Prepared,Per Pot (395g) As Prepared,(as consumed without additional ingredients) Per 100g,(as consumed without additional ingredients) Per serving (155g),(as consumed without additional ingredients) Per serving (158g),as consumed per 1/2 pack (125g),per 1/2 pack (125g) %RI,per 1/2 pack (125g),(as consumed) per 1/4 pack (167g when cooked),(boiled) per 100g,(boiled) per 225g portion,per 225g portion %RI,(as consumed) per 205g portion,per 205g portion %RI,Per portion (125g),Per 1/2 Pack as Prepared (183g),per 225g portion,per 180g cooked pasta (approx. 75g dry pasta) RI*,(as consumed) per 80g portion,per 80g portion %RI,Per 100g as prepared**,Per serving**,% RI*,(as consumed) per 1/4 pack (184g when cooked),(as consumed) per 150g cooked pasta (approx. 75g dry pasta),per 100 g
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Fusilli 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 7 portions,,Morrisons Fusilli 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Spirali 500g,,,,,,,658kJ,,,8400kJ,,,,,1184kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morrisons Spirali 500g,,,,,,,155kcal,,,2000kcal,,,,,279kcal,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Spirali 500g,,,,,,,0.8g,,,70g,,,,,1.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrisons Spirali 500g,,,,,,,0.2g,,,20g,,,,,0.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Spirali 500g,,,,,,,31.2g,,,,,,,,56.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrisons Spirali 500g,,,,,,,1.2g,,,90g,,,,,2.2g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Spirali 500g,,,,,,,1.8g,,,,,,,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Spirali 500g,,,,,,,4.9g,,,,,,,,8.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Spirali 500g,,,,,,,0.03g,,,6g,,,,,0.05g,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Spirali 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 7 portions,,Morrisons Spirali 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75g of dry pasta weighs approx. 180g when cooked,,Morrisons Spirali 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Macaroni 500g,,,,,,,659kJ,1186kJ,,8400kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morrisons Macaroni 500g,,,,,,,156kcal,280kcal,14%,2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Macaroni 500g,,,,,,,0.8g,1.5g,2%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrisons Macaroni 500g,,,,,,,0.2g,0.4g,2%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Macaroni 500g,,,,,,,31.2g,56.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrisons Macaroni 500g,,,,,,,1.2g,2.2g,2%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Macaroni 500g,,,,,,,1.8g,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Macaroni 500g,,,,,,,4.9g,8.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Macaroni 500g,,,,,,,trace,trace,<1%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Macaroni 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 7 portions,,Morrisons Macaroni 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,490kJ,,,,,,,,,,,,894kJ,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,116kcal,,,,,,,,,,,,212kcal,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,1.7g,,,,,,,,,,,,3.1g,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Saturates,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,0.8g,,,,,,,,,,,,1.5g,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,20.4g,,,,,,,,,,,,37.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Sugars,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,2.4g,,,,,,,,,,,,4.4g,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,0.7g,,,,,,,,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,4.4g,,,,,,,,,,,,8.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,0.58g,,,,,,,,,,,,1.06g,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference Intake of an average adult (8400kJ/2000kcal),,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pack contains 2 portions,,Batchelors Pasta 'N' Sauce Cheese & Broccoli 99g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,603kJ/143kcal,1086kJ/257kcal,,8400kJ/2000kcal,,,,,,,,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,1.1g,2g,,70g,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,0.3g,0.6g,,20g,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,27g,48.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,1.5g,2.6g,,90g,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,3.7g,6.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,4.3g,7.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Wholewheat Spaghetti 500g,,,,,,,trace,trace,,6g,,,,,,,,,<1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Wholewheat Spaghetti 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 7 portions,,Morrisons Wholewheat Spaghetti 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Linguine 500g,,,,,,,659kJ/156kcal,1186kJ/280kcal,,8400kJ/2000kcal,,,,,,,,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Linguine 500g,,,,,,,0.8g,1.5g,,70g,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,Morrisons Linguine 500g,,,,,,,0.2g,0.4g,,20g,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Linguine 500g,,,,,,,31.2g,56.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,Morrisons Linguine 500g,,,,,,,1.2g,2.2g,,90g,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Linguine 500g,,,,,,,1.8g,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Linguine 500g,,,,,,,4.9g,8.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Linguine 500g,,,,,,,trace,trace,,6g,,,,,,,,,<1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Linguine 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 7 portions,,Morrisons Linguine 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Batchelors Super Noodles Chicken Pot 75g,,,,,558kJ/133kcal,,,,,,,,,,,,,,,1479kJ/353kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Batchelors Super Noodles Chicken Pot 75g,,,,,5.6g,,,,,,,,,,,,,,,14.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Saturates ,,Batchelors Super Noodles Chicken Pot 75g,,,,,2.8g,,,,,,,,,,,,,,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Batchelors Super Noodles Chicken Pot 75g,,,,,17.7g,,,,,,,,,,,,,,,47.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which Sugars ,,Batchelors Super Noodles Chicken Pot 75g,,,,,1.4g,,,,,,,,,,,,,,,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Batchelors Super Noodles Chicken Pot 75g,,,,,0.9g,,,,,,,,,,,,,,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Batchelors Super Noodles Chicken Pot 75g,,,,,2.5g,,,,,,,,,,,,,,,6.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Batchelors Super Noodles Chicken Pot 75g,,,,,0.63g,,,,,,,,,,,,,,,1.67g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pot contains 1 portion,,Batchelors Super Noodles Chicken Pot 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,587 kJ,1916 kJ,2260 kJ,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,142 kcal,463 kcal,547 kcal,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,5.4 g,18 g,21 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,2.6 g,8.6 g,10 g,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,19 g,63 g,73 g,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,1.2 g,4 g,4.6 g,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,1.2 g,3.7 g,4.6 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,3.2 g,10 g,12 g,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,0.63 g,2 g,2.4 g,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*% of Reference intake of an average adult (8400 kJ / 2000 kcal),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 385 g. ( Pack contains 1 portions ),,Pot Noodle Chicken & Mushroom King Pot 114g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,1508kJ/356 kcal,1130kJ/267 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,1.5g,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-of which saturates ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,0.3g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,72.0g,54.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-of which sugars ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,3.0g,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,3.0g,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,12.0g,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Napolina Fusilli Pasta     1kg,,,,,,,,,,,,,,,,,,,,,<0.01g,<0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,634kJ/151kcal,919kJ/219kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,6.5g,9.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Saturates ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,3.1g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,19.5g,28.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Sugars ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,<0.5g,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,1.2g,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,3.1g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,0.41g,0.59g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pack contains 2 portions,,Batchelors Super Noodles Bbq Beef Flavour 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
