Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Salt ,,,9%,6g,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,0.47g,0.53g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,11%,8400kJ/2000kcal,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,1234kJ/295kcal,,939kJ/225kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,18%,70g,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,16.3g,,12.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,10%,20g,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,2.7g,,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,17.4g,,13.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,1%,90g,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,1.6g,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,1.3g,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,19.1g,,14.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,8%,6g,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,0.61g,,0.46g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 3 portions,,,,,Morrisons Breaded Chicken Goujons 270g,£1.25,['/productImages/116/116603011_0_640x640.jpg?identifier=6808d5f86c9b7c081d4ece70291d5130'],https://groceries.morrisons.com//products/morrisons-breaded-chicken-goujons-116603011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,8400kJ/2000kcal,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,1191kJ/285kcal,,,,,,,254kJ/61kcal,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,,70g,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,15.9g,,,,,,,3.4g,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,,20g,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,5.9g,,,,,,,1.2g,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,1.5g,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,,90g,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,1.5g,,,,,,,0.3g,<1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,0.5g,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,33.7g,,,,,,,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,,6g,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,3.19g,,,,,,,0.68g,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Hampshire Breed Dry Cured Smoked Back Bacon 200g,£2.65,['/productImages/386/386033011_0_640x640.jpg?identifier=d10be8a0c9f8698ebad9b24adb9bfed4'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-smoked-back-bacon-386033011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,3%,8400kJ/2000kcal,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,1171kJ/281kcal,,,,,,,,,293kJ/70kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,6%,70g,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,17.2g,,,,,,,,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,8%,20g,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,6.5g,,,,,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,,,,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,0.5g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,,<1%,90g,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,0.5g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,,,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,0.5g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,30.6g,,,,,,,,,7.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,14%,6g,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,3.29g,,,,,,,,,0.82g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best 6 Hampshire Unsmoked Cured Back Bacon Rashers 200g,£2.65,['/productImages/212/212572011_0_640x640.jpg?identifier=99ae29c655b266a36bef625bf09c781c'],https://groceries.morrisons.com//products/morrisons-the-best-6-hampshire-unsmoked-cured-back-bacon-rashers-212572011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,10%,8400kJ/2000kcal,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,818kJ/196kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,16%,70g,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,10.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,15%,20g,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,0%,90g,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,24.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,4%,6g,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,0.25g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Chicken Thigh Fillets Boneless 1kg,£4.65,['/productImages/370/370409011_0_640x640.jpg?identifier=0f60f676640d567822116725ec491d69'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-370409011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,6%,8400kJ/2000kcal,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,1000kJ/240kcal,,,530kJ/127kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,12%,70g,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,15.3g,,,8.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,14%,20g,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,5.4g,,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,3.4g,,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,1%,90g,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,1.2g,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,0.6g,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,21.9g,,,11.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,10%,6g,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,1.13g,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Thick Cumberland Sausages 400g,£2.65,['/productImages/211/211114011_0_640x640.jpg?identifier=a835145e99dae4847ce7d6d789540c6d'],https://groceries.morrisons.com//products/morrisons-the-best-thick-cumberland-sausages-211114011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,8400kJ,Morrisons The Best Thick Old English Sausages 400g,£2.65,['/productImages/116/116088011_0_640x640.jpg?identifier=f5df11df0d247794da9e9fee1aca1348'],https://groceries.morrisons.com//products/morrisons-the-best-thick-old-english-sausages-116088011,1113kJ,,,,,,,,,,610kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7%,2000kcal,Morrisons The Best Thick Old English Sausages 400g,£2.65,['/productImages/116/116088011_0_640x640.jpg?identifier=f5df11df0d247794da9e9fee1aca1348'],https://groceries.morrisons.com//products/morrisons-the-best-thick-old-english-sausages-116088011,268kcal,,,,,,,,,,147kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,15%,70g,Morrisons The Best Thick Old English Sausages 400g,£2.65,['/productImages/116/116088011_0_640x640.jpg?identifier=f5df11df0d247794da9e9fee1aca1348'],https://groceries.morrisons.com//products/morrisons-the-best-thick-old-english-sausages-116088011,19.2g,,,,,,,,,,10.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,19%,20g,Morrisons The Best Thick Old English Sausages 400g,£2.65,['/productImages/116/116088011_0_640x640.jpg?identifier=f5df11df0d247794da9e9fee1aca1348'],https://groceries.morrisons.com//products/morrisons-the-best-thick-old-english-sausages-116088011,6.9g,,,,,,,,,,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
